Unix Time, Vive Time,Left Pos x, Left Pos y, Right Pos x, Right Pos y, Eye Position
1683443982365889,3539345,0.3507138,0.8240146,0.3991977,0.549183,OK
1683443982374397,3539354,0.315124,0.804462,0.3753604,0.5380799,OK
1683443982383022,3539362,0.2560669,0.8135911,0.3413042,0.5254358,OK
1683443982390916,3539370,0.2194346,0.8038576,0.3128497,0.5318246,OK
1683443982399429,3539379,0.1892899,0.7926311,0.2758115,0.5308626,OK
1683443982407935,3539387,0.185603,0.7797315,0.250851,0.5232394,OK
1683443982415971,3539395,0.1554028,0.7938619,0.2296639,0.5250293,OK
1683443982424099,3539404,0.1629852,0.7751969,0.2259658,0.5218591,OK
1683443982432105,3539412,0.1637034,0.7888089,0.2274266,0.517676,OK
1683443982440613,3539420,0.1648813,0.7913738,0.2331189,0.5196752,OK
1683443982449124,3539429,0.1608264,0.7743948,0.2357973,0.516525,OK
1683443982457630,3539437,0.1643722,0.7814859,0.2348996,0.5229477,OK
1683443982465143,3539445,0.1490603,0.7857749,0.2367523,0.5204885,OK
1683443982474648,3539454,0.1715374,0.7825353,0.2427302,0.5226891,OK
1683443982481650,3539462,0.1628758,0.7770448,0.2493217,0.5226836,OK
1683443982491157,3539470,0.1629676,0.7756546,0.2531621,0.5230058,OK
1683443982498266,3539479,0.1029771,0.8487247,0.2532903,0.5230945,OK
1683443982507774,3539487,0.1318472,0.8257923,0.262174,0.5205517,OK
1683443982515286,3539495,0.1693534,0.777211,0.2657326,0.5165588,OK
1683443982523790,3539504,0.1692678,0.7781582,0.2698863,0.5175226,OK
1683443982531791,3539512,0.1197917,0.8512601,0.2704506,0.514241,OK
1683443982540852,3539520,0.1225571,0.8339146,0.2760397,0.5166942,OK
1683443982548895,3539529,0.1731601,0.7778389,0.2798941,0.5144147,OK
1683443982557403,3539537,0.1713515,0.7699574,0.2877198,0.5134341,OK
1683443982565910,3539545,0.1953961,0.7630934,0.2909029,0.513227,OK
1683443982574415,3539554,0.1935732,0.7720388,0.2955587,0.5085534,OK
1683443982582920,3539562,0.2008694,0.7641945,0.3020925,0.506399,OK
1683443982590926,3539570,0.2137693,0.7754076,0.3078186,0.5088072,OK
1683443982599434,3539579,0.2191227,0.7691656,0.3092338,0.5104129,OK
1683443982607942,3539587,0.2279442,0.772764,0.3210558,0.5071662,OK
1683443982616449,3539595,0.2307165,0.7812277,0.325503,0.5080133,OK
1683443982624956,3539604,0.2461807,0.7779872,0.3300345,0.5092555,OK
1683443982632959,3539612,0.2556715,0.7653206,0.3367551,0.5101302,OK
1683443982640968,3539620,0.2629317,0.7559697,0.3390865,0.5101703,OK
1683443982649309,3539629,0.2697531,0.7555524,0.3441729,0.5091912,OK
1683443982657814,3539637,0.2731025,0.7498943,0.3508871,0.5072736,OK
1683443982666322,3539645,0.2813104,0.7612318,0.3534739,0.5080198,OK
1683443982673829,3539654,0.2826293,0.7535129,0.3567,0.5094111,OK
1683443982682832,3539662,0.2945013,0.7492458,0.3595818,0.5100834,OK
1683443982691340,3539670,0.3021228,0.740445,0.3670593,0.5086855,OK
1683443982698849,3539679,0.3054716,0.7365133,0.3716483,0.5069832,OK
1683443982707908,3539687,0.3152656,0.7285821,0.3750034,0.5065384,OK
1683443982716413,3539695,0.3227367,0.7224532,0.3806222,0.504976,OK
1683443982723917,3539704,0.3279758,0.7172729,0.3847825,0.5039997,OK
1683443982731919,3539712,0.3286602,0.718733,0.3868344,0.5046033,OK
1683443982739926,3539720,0.3334228,0.723307,0.3882582,0.5048069,OK
1683443982748435,3539729,0.3321567,0.7215093,0.3903086,0.5049643,OK
1683443982756943,3539737,0.3263953,0.7453281,0.3904941,0.5076155,OK
1683443982765451,3539745,0.3340974,0.7255685,0.3935875,0.5084499,OK
1683443982773960,3539754,0.3349713,0.7316409,0.3948036,0.5105808,OK
1683443982781963,3539762,0.3426862,0.7261624,0.3953525,0.5122144,OK
1683443982790474,3539770,0.3422582,0.7343042,0.3969333,0.5125507,OK
1683443982797980,3539779,0.3443105,0.7276281,0.3993573,0.5159585,OK
1683443982806487,3539787,0.3477795,0.72701,0.3999167,0.5164891,OK
1683443982814993,3539795,0.3461342,0.7288838,0.4007452,0.5170326,OK
1683443982823495,3539804,0.3500421,0.732762,0.4013353,0.5164052,OK
1683443982831501,3539812,0.3539281,0.7502458,0.4046935,0.5181755,OK
1683443982840514,3539820,0.3716928,0.7453409,0.4126963,0.528771,OK
1683443982849019,3539829,0.3960921,0.7467409,0.4254192,0.5366339,OK
1683443982856530,3539837,0.4065893,0.7537939,0.4349955,0.5404395,OK
1683443982865033,3539845,0.4098945,0.7661631,0.435147,0.5454081,OK
1683443982873538,3539854,0.4085229,0.7662629,0.4351309,0.544408,OK
1683443982881545,3539862,0.4102637,0.7543766,0.4334612,0.5426097,OK
1683443982891055,3539870,0.4111736,0.7530389,0.433823,0.5431694,OK
1683443982898357,3539879,0.4138691,0.7555025,0.4317237,0.538899,OK
1683443982907863,3539887,0.410056,0.7560261,0.4314242,0.5389257,OK
1683443982915894,3539895,0.4123978,0.7502769,0.4300938,0.537442,OK
1683443982923936,3539904,0.4124333,0.7524169,0.4303023,0.536559,OK
1683443982931934,3539912,0.4126,0.7513365,0.4291944,0.5380139,OK
1683443982940942,3539920,0.4124333,0.7502562,0.4293708,0.5379912,OK
1683443982948419,3539929,0.4121874,0.749482,0.4295472,0.5380139,OK
1683443982956927,3539937,0.4125228,0.7583649,0.428962,0.5379989,OK
1683443982965985,3539945,0.4139518,0.7516887,0.4295801,0.5414079,OK
1683443982974436,3539954,0.4126769,0.7516277,0.4284209,0.5393597,OK
1683443982981439,3539962,0.4083911,0.7576975,0.4285852,0.5429134,OK
1683443982989946,3539970,0.4146631,0.7664781,0.4285562,0.5421655,OK
1683443982999087,3539979,0.4121914,0.7613315,0.4300277,0.5441464,OK
1683443983007595,3539987,0.4097197,0.7571051,0.4294205,0.5425626,OK
1683443983015102,3539995,0.411988,0.7605724,0.4296447,0.5427164,OK
1683443983023605,3540004,0.4129913,0.7640396,0.429869,0.5428703,OK
1683443983031610,3540012,0.4113555,0.7605724,0.4301833,0.5432145,OK
1683443983040621,3540020,0.4097197,0.7604656,0.4300102,0.5435587,OK
1683443983048133,3540029,0.4080775,0.7599875,0.4302538,0.5437223,OK
1683443983056644,3540037,0.4043295,0.7624313,0.4301228,0.5439686,OK
1683443983065150,3540045,0.3942186,0.7517188,0.4197605,0.5395592,OK
1683443983073656,3540054,0.3660142,0.7468181,0.4027567,0.533422,OK
1683443983081664,3540062,0.3375915,0.7558063,0.3727667,0.528613,OK
1683443983090172,3540070,0.3121558,0.7461888,0.3630935,0.5254976,OK
1683443983099245,3540079,0.3095168,0.7554848,0.355607,0.5250347,OK
1683443983106751,3540087,0.3040683,0.7574907,0.355312,0.5260904,OK
1683443983115785,3540095,0.2976948,0.7681321,0.3545267,0.5246873,OK
1683443983124289,3540104,0.2978304,0.7530966,0.3549582,0.524906,OK
1683443983131291,3540112,0.2995926,0.7531122,0.3555486,0.5249017,OK
